agency_id,route_id,route_short_name,route_long_name,route_type,route_desc
8,1-Kamloops,1,Tranquille,3,
8,2-Kamloops,2,Parkcrest,3,
8,3-Kamloops,3,Westsyde,3,
8,4-Kamloops,4,Pacific Way,3,
8,5-Kamloops,5,Pineview,3,
8,6-Kamloops,6,City Loop,3,
8,7-Kamloops,7,Aberdeen,3,
8,9-Kamloops,9,Gleneagles,3,
8,10-Kamloops,10,North Shore TRU Express,3,
8,13-Kamloops,13,Yellowhead,3,
8,14-Kamloops,14,Batchelor Heights,3,
8,16-Kamloops,16,Juniper Ridge,3,
8,17-Kamloops,17,Dallas,3,
